Frame Number,Video Time (s),LED Score,LED Score Smoothed,LED Detected,Detection Threshold,Required Peak Threshold
57,1.899185467756585,69.77709197998047,69.88423919677734,False,79.61967849731445,94.61967849731445
58,1.93250451105056,69.88423919677734,69.88423919677734,False,79.61967849731445,94.61967849731445
59,1.9658235543445353,70.27142333984375,70.27142333984375,False,79.61967849731445,94.61967849731445
60,1.9991425976385104,71.82462310791016,70.27142333984375,False,79.61967849731445,94.61967849731445
61,2.0324616409324854,70.12462615966797,70.81470489501953,False,79.61967849731445,94.61967849731445
62,2.0657806842264606,70.81470489501953,70.81470489501953,False,79.61967849731445,94.61967849731445
63,2.0990997275204357,71.63866424560547,71.52191925048828,False,79.61967849731445,94.61967849731445
64,2.132418770814411,71.52191925048828,71.52191925048828,False,79.61967849731445,94.61967849731445
65,2.165737814108386,70.51280975341797,71.32414245605469,False,79.61967849731445,94.61967849731445
66,2.1990568574023612,71.32414245605469,71.32414245605469,False,79.61967849731445,94.61967849731445
67,2.2323759006963364,71.36009979248047,71.36009979248047,False,79.61967849731445,94.61967849731445
68,2.2656949439903116,71.40196228027344,71.36009979248047,False,79.61967849731445,94.61967849731445
69,2.2990139872842867,71.34754180908203,71.34754180908203,False,79.61967849731445,94.61967849731445
