Randomised Run Order,Test ID,Video Filename,Phase Shift Command (deg),Equivalent Signed Phase (deg),Repeat Number,Start Blink Time (s),Finish Crossing Time (s),Transport Time (s),Net Travel Distance (mm),Mean Transport Speed (mm/s),Median Transport Speed (mm/s),Number of Complete Cycles,Mean Net Advance per Cycle (mm),SD Net Advance per Cycle (mm),Total Backward Travel (mm),Backward Travel Percentage (%),Maximum Backward Slip in One Cycle (mm),Vertical Centroid Peak-to-Peak (mm),Vertical Centroid RMS (mm),Mean Pitch Angle (deg),Pitch Peak-to-Peak (deg),Maximum Absolute Pitch Angle (deg),Green Marker Detection Rate (%),Frames Requiring Interpolation,Finish Crossing Detected,Quality-Control Status,Notes
11,phase120_rep2,run11_phase120_rep2.mp4.mp4,120,120,2,0.8662942601369142,12.14865196852438,11.282357708387465,522.0721745173137,46.27332229762559,48.676983818921954,3,136.4557876840786,4.069786023851316,0.0,0.0,0.0,7.15386962890625,1.7266587721919033,0.5657357091821127,0.8254573328167426,0.8920176377928383,100.0,0,Yes,PASS,
12,phase072_rep2,run12_phase72_rep2.mp4.mp4,72,72,2,1.2994425566343042,12.489178571704494,11.18973601507019,519.1684741338095,46.396847381797045,48.30040494220448,3,136.0046400118757,4.24539188413808,0.0,0.0,0.0,6.482340494791686,1.576576708671844,0.610372741810989,2.457532041019156,1.593573090147104,100.0,0,Yes,PASS,
13,phase270_rep2,run13_phase270_rep2.mp4.mp4,270,-90,2,0.9329331246739698,12.583894138175337,11.650961013501366,523.854956181844,44.96238169321745,49.89932626871694,3,132.3001999678435,3.5044491025119036,0.2297051747639962,0.04384900286869853,0.2297051747639962,5.562662760416629,1.1193342710838563,0.5753453960056418,1.9143681542304205,1.4438134200783541,100.0,0,Yes,PASS,
14,phase090_rep2,run14_phase90_rep2.mp4.mp4,90,90,2,1.0667055159672738,12.302755663864323,11.236050147897048,525.2119178771973,46.74346509351389,50.61953622706379,3,139.7974530261148,4.29661522968219,0.0,0.0,0.0,5.6849365234375,1.0488805400178927,0.6048600671077835,2.1447102118996644,1.5701892868163438,100.0,0,Yes,PASS,
15,phase120_rep3,run15_phase120_rep3.mp4.mp4,120,120,3,1.0662098883572568,12.232936413462335,11.166726525105078,524.4629229651556,46.9665771599274,48.67569056607512,3,137.98698910077414,7.26456861334923,0.2440418667263451,0.04653176726900079,0.2440418667263451,6.424662272135436,1.2548389143051848,0.5777559632205902,0.8431599486782932,0.8984695548600573,100.0,0,Yes,PASS,
16,phase090_rep3,run16_phase90_rep3.mp4.mp4,90,90,3,0.9995710900473934,12.159054732368185,11.159483642320792,520.6525887171427,46.65561646084055,50.024080337645515,3,140.40483699021516,4.960222713033868,0.0,0.0,0.0,6.524037679036439,1.4621236826638366,0.5898057944656437,2.156699792875598,1.4931024634311727,100.0,0,Yes,PASS,
17,phase072_rep3,run17_phase72_rep3.mp4.mp4,72,72,3,0.7330177446102819,11.70756757864854,10.974549834038259,521.6064947764079,47.52873718415424,49.4182358933187,3,140.68312283356988,7.390577870515682,0.0,0.0,0.0,5.04437255859375,1.2524463761909743,0.5891024988742752,2.693878609069495,1.7664336562405578,100.0,0,Yes,PASS,
18,phase288_rep3,run18_phase288_rep3.mp4.mp4,288,-72,3,0.9995715390564578,12.335451158194537,11.33587961913808,500.90391117334366,44.187476226166005,46.874121969051814,3,132.07769640728282,5.814554215016366,0.770639546712232,0.15384977627885663,0.39531097412105964,7.185963948567746,1.4789626558346627,0.5137704221140246,2.481067733783715,1.791596433349306,100.0,0,Yes,PASS,
19,phase270_rep3,run19_phase270_rep3.mp4.mp4,270,-90,3,0.9995714285714286,12.673844421754932,11.674272993183504,522.004214975569,44.71406615901155,49.40263465487719,3,131.63875480934425,3.0655993193591415,1.1512878417969432,0.22055144551865855,0.353759765625,7.960561116536439,1.8476368182770915,0.537849211752423,1.8078290519744775,1.2785415242216858,100.0,0,Yes,PASS,
20,phase180_rep3,run20_phase180_rep3.mp4.mp4,180,180,3,0.9995698143664246,11.994520446754112,10.994950632387686,521.567631509569,47.43701440306551,51.71798521930967,3,143.733532305117,2.9470288652597825,3.2354646788703434,0.6203346380038892,0.7904781765408302,6.177652994791686,1.0419439715837369,0.5380181657294456,0.9768811184867563,0.947192393145835,100.0,0,Yes,PASS,
21,phase240_rep3,run21_phase240_rep3.mp4.mp4,240,-120,3,0.7663356910569106,12.203774886212983,11.437439195156072,521.6700951682195,45.61074260304306,48.373448937238855,3,135.31004880092766,4.405910830816876,0.37060976028442383,0.07104293761844174,0.37060976028442383,7.043904622395871,1.6542899299617977,0.5696445783995245,1.0255395075194162,1.0826608058461906,100.0,0,Yes,PASS,
