frame,time_s,x_px,y_px,area_px2,x_mm,y_mm,radius_px,radius_mm,theta_rad,theta_unwrapped_rad,theta_unwrapped_deg,rev_float,rev_index
19,0.6350713697824809,1066.7705331412103,340.8220461095101,1388.0,13.515777487470636,15.970496423755888,131.0787563460018,20.92206961827672,0.8684561858911646,0.8684561858911646,49.7588741435926,0.13135839597259416,1
20,0.668496178718401,1070.3888096935138,344.5327868852459,1403.0,14.093306875418495,15.37820840539546,130.68552814409466,20.859304697052913,0.8289686528840863,0.8289686528840863,47.496405158903485,0.13764303204117503,1
21,0.701920987654321,1074.0016648828635,348.536805803306,1401.5,14.669970935251333,14.73910894418742,130.28526737801647,20.795417276644017,0.7877490659707398,0.7877490659707398,45.13469679549605,0.14420333305064015,1
22,0.735345796590241,1076.7458556946929,352.5605247465712,1397.5,15.107983568353962,14.096865073386901,129.45766218709585,20.663319491285247,0.7507903897500595,0.7507903897500595,43.01712063166055,0.1500854890612943,1
23,0.7687706055261612,1080.258697261288,356.62065136935604,1351.0,15.668684004207025,13.448810009172723,129.3674862220332,20.64892610007885,0.709306860120103,0.709306860120103,40.64028946455815,0.15668779785880096,1
24,0.8021954144620812,1083.0419743968487,360.94251600196947,1354.0,16.112935381168867,12.758977764460065,128.765340392486,20.5528148970332,0.669749724038526,0.669749724038526,38.373832517459114,0.16298351160074273,1
25,0.8356202233980012,1085.4430444189893,364.3053328242332,1309.5,16.49618096239013,12.22222345254704,128.62634445075938,20.530629129861396,0.637659568492046,0.637659568492046,36.535202040727484,0.16809081848055282,1
26,0.8690450323339213,1091.3642624593037,372.44828449787127,1331.0,17.441293195050044,10.922490325964658,128.93004135192962,20.579103557650186,0.5594927638197537,0.5594927638197537,32.05657403498165,0.1805314518298468,1
27,0.9024698412698413,1094.0164145855317,376.8000937976316,1421.5,17.864615119746464,10.227878478300248,128.96877065639293,20.585285316058926,0.519969720490426,0.519969720490426,29.792070458698493,0.18682173954174447,1
28,0.9358946502057613,1096.144681363691,381.237682206963,1383.5,18.204317348697863,9.519575041302303,128.70455515853035,20.543112692556786,0.4818225131391328,0.4818225131391328,27.606396477258965,0.19289305615685426,1
29,0.9693194591416814,1098.440436756226,385.80088332719913,1358.5,18.570753188403003,8.791221994773789,128.72574584389244,20.546495033118777,0.44213447966658714,0.44213447966658714,25.332439662108158,0.19920960286560652,1
