frame,time_s,x_px,y_px,area_px2
37,1.236717930629042,1108.1749836280287,421.91512770137524,1272.5
38,1.2701427395649618,1109.042928273449,425.98869600322973,1238.5
39,1.303567548500882,1109.196175539964,430.3725409272252,1211.5
40,1.336992357436802,1108.6815360744763,436.3365658132919,1289.0
41,1.370417166372722,1108.9800353803384,442.15579984836995,1319.0
42,1.403841975308642,1108.9473067915692,446.9761904761905,1281.0
43,1.4372667842445621,1109.1352127381883,451.34494909945187,1277.0
44,1.470691593180482,1108.1909792767167,455.81457402140046,1230.5
45,1.5041164021164022,1107.8040248514314,460.97001620745544,1234.0
46,1.5375412110523223,1107.0038663352664,465.05343827671913,1207.0
47,1.5709660199882423,1105.9563837129053,470.4640441683919,1207.5
48,1.6043908289241624,1105.0584,475.34306666666663,1250.0
49,1.6378156378600823,1103.0823909531503,479.9717285945073,1238.0
50,1.6712404467960025,1102.0953757225434,485.0366088631984,1211.0
51,1.7046652557319224,1100.399764613574,488.636589512227,1274.5
52,1.7380900646678425,1098.4355537503384,493.4428648795017,1231.0
53,1.7715148736037625,1096.7864879501758,497.77349038721906,1231.0
54,1.8049396825396826,1094.5046891747052,502.0608252947481,1244.0
55,1.8383644914756028,1092.2606326422115,506.311004784689,1254.0
56,1.8717893004115227,1090.4230977525046,509.8023287300297,1231.0
57,1.9052141093474428,1088.6031942723391,513.642158887512,1210.5
58,1.9386389182833628,1085.6555692560626,518.4345800794629,1216.5
59,1.972063727219283,1082.797208538588,523.0236726874657,1218.0
60,2.005488536155203,1079.7558386411888,527.6986386911452,1334.5
61,2.0389133450911228,1076.4653899111277,531.4697709350356,1331.5
62,2.072338154027043,1073.6459336048376,534.7424410712082,1350.5
63,2.105762962962963,1069.9993852207056,538.363211607033,1355.5
64,2.139187771898883,1066.7695893172083,541.7004283194759,1323.0
65,2.1726125808348034,1062.7101225016117,545.4457769181173,1292.5
66,2.206037389770723,1059.4639570552147,547.9947597137015,1304.0
67,2.239462198706643,1055.5150462962963,551.440329218107,1296.0
68,2.2728870076425634,1051.019233268356,554.6868096166342,1282.5
69,2.3063118165784835,1047.1040921732222,557.4027281154813,1258.5
70,2.339736625514403,1042.4515488482923,559.992983849616,1259.0
71,2.3731614344503233,1038.4798102981028,562.690379403794,1230.0
72,2.4065862433862435,1034.1704427083332,564.5361979166667,1280.0
73,2.4400110523221636,1030.3377903835765,566.648568341437,1234.0
74,2.473435861258084,1026.3832116788321,568.6754528250877,1233.0
75,2.5068606701940035,1022.2058054753061,570.745494565965,1211.5
76,2.5402854791299236,1018.4921286789869,571.6132785763176,1217.5
77,2.573710288065844,1013.3283082077052,573.0475991066443,1194.0
78,2.607135097001764,1009.1137459807074,573.7024383708467,1244.0
79,2.6405599059376836,1004.0366614664587,575.0146905876235,1282.0
80,2.673984714873604,998.8653820946388,576.6040110106173,1271.5
81,2.707409523809524,993.7234848484848,577.6048850574712,1276.0
82,2.740834332745444,988.7343605952851,578.3382062425918,1265.5
83,2.7742591416813642,984.0276516714816,578.6976200302655,1211.5
84,2.807683950617284,979.8379689060047,579.5043503066609,1168.5
85,2.841108759553204,974.5139256458726,579.794706994329,1322.5
86,2.8745335684891242,969.9740672782873,579.2335168195718,1362.5
87,2.9079583774250444,965.0177580466149,578.805154766309,1351.5
88,2.941383186360964,960.6069518716578,579.1936592818946,1309.0
89,2.9748079952968842,956.0105396825396,578.4966349206348,1312.5
90,3.0082328042328044,950.6179450072359,577.7083936324168,1382.0
91,3.0416576131687245,946.9495361781076,576.6912801484231,1347.5
92,3.0750824221046447,941.6443853652361,575.5009494872769,1316.5
93,3.1085072310405644,937.5656680571356,574.2554670711667,1318.5
94,3.1419320399764845,933.0980694980695,572.6755469755469,1295.0
95,3.1753568489124047,928.8229702970297,571.5515511551155,1262.5
96,3.208781657848325,924.1643174105977,569.9182980944922,1277.0
97,3.2422064667842445,921.2421183800623,569.1872897196262,1337.5
98,3.2756312757201647,917.3968313373252,566.9537175648702,1336.0
