method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2
hough,72,2.4015147401908803,833.0,446.0,20.0,3.466199300456407,1209.5
hough,73,2.43486911158242,835.0,442.0,20.0,3.466199300456407,1182.5
hough,74,2.46822348297396,837.0,438.0,20.0,3.466199300456407,1168.0
hough,75,2.5015778543655003,841.0,432.0,18.0,3.119579370410766,1207.0
hough,76,2.53493222575704,844.0,430.0,20.0,3.466199300456407,1209.5
hough,77,2.56828659714858,848.0,427.0,21.0,3.639509265479227,1207.5
hough,78,2.6016409685401203,847.0,422.0,21.0,3.639509265479227,1212.0
hough,79,2.63499533993166,851.0,420.0,20.0,3.466199300456407,1203.5
hough,80,2.6683497113232,855.0,417.0,20.0,3.466199300456407,1226.5
hough,81,2.7017040827147403,857.0,414.0,19.0,3.2928893354335864,1223.0
