Frame Number,Video Time (s),LED Score,LED Score Smoothed,LED Detected,Detection Threshold,Required Peak Threshold
23,0.7663403581267217,67.51600646972656,67.92364501953125,False,78.86097717285156,93.86097717285156
24,0.7996595041322314,68.88048553466797,68.88048553466797,False,78.86097717285156,93.86097717285156
25,0.8329786501377411,69.27167510986328,69.25320434570312,False,78.86097717285156,93.86097717285156
26,0.8662977961432506,69.25320434570312,69.25320434570312,False,78.86097717285156,93.86097717285156
27,0.8996169421487603,68.65873718261719,68.86097717285156,False,78.86097717285156,93.86097717285156
28,0.93293608815427,68.86097717285156,68.86097717285156,False,78.86097717285156,93.86097717285156
29,0.9662552341597797,69.20368194580078,68.86097717285156,False,78.86097717285156,93.86097717285156
30,0.9995743801652892,68.36561584472656,68.50074005126953,False,78.86097717285156,93.86097717285156
31,1.032893526170799,68.50074005126953,68.50074005126953,False,78.86097717285156,93.86097717285156
32,1.0662126721763086,68.55345153808594,68.55345153808594,False,78.86097717285156,93.86097717285156
33,1.099531818181818,68.65467834472656,68.55345153808594,False,78.86097717285156,93.86097717285156
34,1.132850964187328,68.4751205444336,68.65467834472656,False,78.86097717285156,93.86097717285156
35,1.1661701101928375,68.86231994628906,68.86231994628906,False,78.86097717285156,93.86097717285156
36,1.199489256198347,69.8382339477539,69.8382339477539,False,78.86097717285156,93.86097717285156
37,1.2328084022038568,159.9108428955078,159.9108428955078,True,78.86097717285156,93.86097717285156
38,1.2661275482093663,164.67041015625,164.67041015625,True,78.86097717285156,93.86097717285156
39,1.2994466942148761,165.75418090820312,165.44558715820312,True,78.86097717285156,93.86097717285156
40,1.3327658402203857,165.44558715820312,165.44558715820312,True,78.86097717285156,93.86097717285156
41,1.3660849862258952,161.2413787841797,161.2413787841797,True,78.86097717285156,93.86097717285156
42,1.399404132231405,70.2247543334961,70.2247543334961,False,78.86097717285156,93.86097717285156
43,1.4327232782369146,69.38645935058594,69.38645935058594,False,78.86097717285156,93.86097717285156
44,1.4660424242424241,68.46305084228516,69.38645935058594,False,78.86097717285156,93.86097717285156
45,1.499361570247934,70.07561492919922,69.41000366210938,False,78.86097717285156,93.86097717285156
46,1.5326807162534435,69.41000366210938,69.47905731201172,False,78.86097717285156,93.86097717285156
47,1.565999862258953,69.47905731201172,69.41000366210938,False,78.86097717285156,93.86097717285156
48,1.5993190082644628,68.41349029541016,69.47905731201172,False,78.86097717285156,93.86097717285156
49,1.6326381542699724,70.12979888916016,70.12979888916016,False,78.86097717285156,93.86097717285156
50,1.6659573002754822,71.29236602783203,70.58152770996094,False,78.86097717285156,93.86097717285156
51,1.6992764462809917,70.58152770996094,71.29236602783203,False,78.86097717285156,93.86097717285156
52,1.7325955922865013,71.70661926269531,71.70661926269531,False,78.86097717285156,93.86097717285156
53,1.765914738292011,72.49679565429688,71.70661926269531,False,78.86097717285156,93.86097717285156
54,1.7992338842975206,71.2362060546875,72.03225708007812,False,78.86097717285156,93.86097717285156
55,1.8325530303030302,72.03225708007812,72.03225708007812,False,78.86097717285156,93.86097717285156
56,1.86587217630854,72.35639953613281,72.03225708007812,False,78.86097717285156,93.86097717285156
57,1.8991913223140495,71.81838989257812,71.81838989257812,False,78.86097717285156,93.86097717285156
58,1.9325104683195593,71.71772766113281,71.71772766113281,False,78.86097717285156,93.86097717285156
59,1.9658296143250689,71.35073852539062,71.35073852539062,False,78.86097717285156,93.86097717285156
60,1.9991487603305784,71.28103637695312,71.28103637695312,False,78.86097717285156,93.86097717285156
61,2.032467906336088,70.84417724609375,71.28103637695312,False,78.86097717285156,93.86097717285156
62,2.065787052341598,72.71182250976562,72.71182250976562,False,78.86097717285156,93.86097717285156
63,2.0991061983471075,73.23177337646484,73.23177337646484,False,78.86097717285156,93.86097717285156
64,2.132425344352617,73.26724243164062,73.23177337646484,False,78.86097717285156,93.86097717285156
65,2.1657444903581267,72.93152618408203,72.93152618408203,False,78.86097717285156,93.86097717285156
66,2.199063636363636,72.638671875,72.638671875,False,78.86097717285156,93.86097717285156
67,2.232382782369146,72.09901428222656,72.09901428222656,False,78.86097717285156,93.86097717285156
68,2.265701928374656,71.12537384033203,71.73970031738281,False,78.86097717285156,93.86097717285156
69,2.2990210743801653,71.73970031738281,71.12537384033203,False,78.86097717285156,93.86097717285156
