Test ID,Frame Number,Video Time (s),Elapsed Experiment Time (s),LED Detected,Marker 1 X (mm),Marker 1 Y (mm),Marker 2 X (mm),Marker 2 Y (mm),Marker 3 X (mm),Marker 3 Y (mm),Object Centroid X (mm),Object Centroid Y (mm),Pitch Angle (deg),Forward Velocity (mm/s),Number of Markers Detected,Interpolated Frame,Finish Line Crossed,Finish Crossing Frame (interpolated)
phase120_rep3,44,1.466038596491228,0.3998287081339711,False,-245.13478088378906,-327.9320068359375,9.156668663024902,-331.428955078125,261.4365539550781,-334.25592041015625,8.486147244771322,-331.20562744140625,0.715229449680729,46.78731009386133,3,False,False,367.14531491911055
phase120_rep3,45,1.4993576555023922,0.43314776714513537,False,-247.05824279785156,-328.04449462890625,7.342459678649902,-331.3595275878906,259.6589050292969,-334.1355895996094,6.647707303365071,-331.17987060546875,0.6887022233815439,44.6900539257181,3,False,False,367.14531491911055
phase120_rep3,46,1.5326767145135565,0.46646682615629964,False,-248.56105041503906,-328.0882873535156,5.784597873687744,-331.2782897949219,258.2138671875,-334.1753234863281,5.1458048820495605,-331.1806335449219,0.688164897945596,45.440092230726115,3,False,False,367.14531491911055
phase120_rep3,47,1.5659957735247207,0.4997858851674639,False,-249.47015380859375,-328.0064697265625,4.833730697631836,-331.246337890625,257.1914978027344,-333.931884765625,4.185024897257487,-331.0615641276042,0.6700443886960089,46.33493545158838,3,False,False,367.14531491911055
phase120_rep3,48,1.599314832535885,0.5331049441786282,False,-251.22377014160156,-328.01544189453125,3.2416746616363525,-331.19268798828125,255.5024871826172,-333.9541015625,2.5067972342173257,-331.0540771484375,0.671456339614946,46.6825658064003,3,False,False,367.14531491911055
phase120_rep3,49,1.6326338915470493,0.5664240031897925,False,-252.91082763671875,-328.1707763671875,1.451964020729065,-331.3701477050781,253.8466033935547,-333.927490234375,0.7959132591883341,-331.15613810221356,0.6508463442864967,49.80115285287985,3,False,False,367.14531491911055
phase120_rep3,50,1.6659529505582136,0.5997430622009567,False,-254.90135192871094,-328.1830139160156,-0.3983154892921448,-331.2739562988281,251.99839782714844,-333.96343994140625,-1.1004231969515483,-331.14013671875,0.6533435067038835,53.47817600014353,3,False,False,367.14531491911055
phase120_rep3,51,1.6992720095693779,0.633062121212121,False,-256.4168701171875,-328.13037109375,-1.9746958017349243,-331.1987609863281,250.41079711914062,-333.80987548828125,-2.660256266593933,-331.0463358561198,0.6420289035062552,53.50275114778348,3,False,False,367.14531491911055
phase120_rep3,52,1.7325910685805421,0.6663811802232853,False,-258.4302978515625,-328.5772705078125,-3.9281809329986572,-331.3802795410156,248.55191040039062,-333.783447265625,-4.602189461390178,-331.2469991048177,0.5883470195362187,52.91136639093674,3,False,False,367.14531491911055
phase120_rep3,53,1.7659101275917064,0.6997002392344496,False,-260.2878112792969,-328.1419982910156,-5.90003776550293,-331.2479248046875,246.61460876464844,-333.7526550292969,-6.524413426717122,-331.0475260416667,0.6341532646124437,55.052864813489016,3,False,False,367.14531491911055
phase120_rep3,54,1.7992291866028707,0.7330192982456138,False,-261.7292785644531,-328.1295166015625,-7.346627712249756,-331.2497863769531,245.0774383544922,-333.6174011230469,-7.9994893074035645,-330.9989013671875,0.6203949602083154,57.77941216698273,3,False,False,367.14531491911055
