method,frame,time_s,x_px,y_px,marker_radius_px,marker_radius_mm,area_px2
centroid,29,0.9672767703546601,881.3215028601143,618.1443057722308,20.2008235992402,3.5010040314164823,1282.0
centroid,30,1.0006311417462002,877.5608233731739,615.3577689243028,19.98696843347328,3.4639408001174683,1255.0
centroid,31,1.03398551313774,874.4777511324272,613.1024513722355,19.95509127054853,3.458416170125953,1251.0
centroid,32,1.06733988452928,870.6863379143089,610.7000808407437,19.843117930641572,3.43901007450319,1237.0
centroid,33,1.1006942559208202,867.6012968109037,608.1079793568877,20.022769579867926,3.4701454955469013,1259.5
centroid,34,1.13404862731236,864.4436864633493,605.1478063135366,19.915173064399998,3.4514979472145773,1246.0
centroid,35,1.1674029987039,860.756890275611,602.0308112324493,20.2008235992402,3.5010040314164823,1282.0
centroid,36,1.2007573700954401,857.283255086072,598.5251695357329,20.16928443308995,3.495537979634134,1278.0
centroid,37,1.23411174148698,854.2650262202501,595.2853301062256,19.863159464818494,3.442483472090396,1239.5
centroid,38,1.26746611287852,850.9870483980914,591.6414451261077,19.726475505261554,3.418794779840402,1222.5
centroid,39,1.3008204842700601,848.0952777777777,587.6363888888889,19.544100476116796,3.3871873699182884,1200.0
centroid,40,1.3341748556616,845.3048650093557,584.3127506014434,19.923163104065253,3.4528827007094938,1247.0
centroid,41,1.36752922705314,843.1231741018555,580.7847085142781,20.078333368379234,3.4797752537903315,1266.5
centroid,42,1.4008835984446801,840.2845363611787,577.059070018924,19.8110093045411,3.433445329636786,1233.0
centroid,43,1.43423796983622,838.1277485498448,573.4724133279374,19.831083288112968,3.4369243510274954,1235.5
centroid,44,1.46759234122776,836.6388551370325,569.6407452409883,19.82305613405485,3.43553316523845,1234.5
centroid,45,1.5009467126193001,834.5651478816947,565.6016520117239,19.95509127054853,3.458416170125953,1251.0
centroid,46,1.5343010840108402,831.8183049011643,561.2477660438668,19.794935460673933,3.4306595723183855,1231.0
centroid,47,1.56765545540238,829.8607147710286,556.8453594238347,19.758721502273858,3.4243833324547306,1226.5
centroid,48,1.6010098267939201,828.4120125016985,552.4387824432667,19.758721502273858,3.4243833324547306,1226.5
centroid,49,1.6343641981854602,826.6597222222222,548.4212072649573,19.931149940667517,3.454266899081675,1248.0
centroid,50,1.667718569577,825.2867686527106,543.7049114331724,19.88318079785697,3.4459533686190045,1242.0
centroid,51,1.7010729409685401,823.6679002192982,539.4498355263158,19.67396303746374,3.4096938458831008,1216.0
centroid,52,1.7344273123600802,822.6663984982569,534.9373826763207,19.89118368841965,3.447340349302504,1243.0
centroid,53,1.76778168375162,821.5573615061627,529.8041446566436,19.790914959878798,3.4299627794662064,1230.5
centroid,54,1.80113605514316,820.6376392901362,525.3323703397991,19.637525992641294,3.403378942919388,1211.5
centroid,55,1.8344904265347002,820.3174993174993,520.5823095823096,19.714369658460004,3.4166967159546537,1221.0
centroid,56,1.86784479792624,819.846620801295,516.2093619317415,19.831083288112968,3.4369243510274954,1235.5
centroid,57,1.90119916931778,819.4722222222222,511.25258714596947,19.738573927438622,3.420891556964741,1224.0
centroid,58,1.9345535407093202,819.2674230145867,506.7325769854133,19.819041337834626,3.4348373610459495,1234.0
centroid,59,1.96790791210086,819.7533807333054,501.77485013244103,19.50742086829322,3.380830428369334,1195.5
centroid,60,2.0012622834924003,819.737889392068,496.940441882805,19.661824858598802,3.407590178528578,1214.5
