video,source_file,frame,time_s,x_px,y_px,area_px2,x_mm,y_mm,radius_px,radius_mm
2,20260609_140511.mp4,22,0.7330175529615218,1113.7715572715572,531.8000321750321,1036.0,16.013442427959152,-15.413683221128455,137.86714484040846,22.226380020931416
2,20260609_140511.mp4,23,0.766336532641591,1109.8015016424215,534.7808540591271,1065.5,15.373406216144133,-15.894239194397484,137.1615766736305,22.112631192494938
2,20260609_140511.mp4,24,0.7996555123216601,1106.0316626889419,538.3696101829753,1047.5,14.765648121967732,-16.472803851723402,137.21895365680774,22.12188127621886
2,20260609_140511.mp4,25,0.8329744920017293,1102.2971867844292,541.1833496892377,1019.0,14.16359111463075,-16.926423484004108,136.9008266158859,22.070594129345338
2,20260609_140511.mp4,26,0.8662934716817985,1098.6833171677984,544.5591658583899,1031.0,13.580977762201387,-17.470658828423808,137.25949916169213,22.12841785751054
2,20260609_140511.mp4,27,0.8996124513618676,1094.8164448993516,547.4732173319685,977.0,12.957576351877064,-17.940450347841207,137.2723462012612,22.130489004946984
2,20260609_140511.mp4,28,0.9329314310419369,1090.7032269138344,550.1222107792653,971.0,12.294460087586089,-18.367510290953327,137.09854863496963,22.102470068603733
2,20260609_140511.mp4,29,0.966250410722006,1086.6221218961625,552.7846501128669,1107.5,11.636520945282767,-18.796737925135535,137.12756289815414,22.107147630036607
2,20260609_140511.mp4,30,0.9995693904020752,1080.9058001995154,555.2645004987886,1169.5,10.714958824745288,-19.196529312244866,136.36663305726788,21.98447361780271
2,20260609_140511.mp4,31,1.0328883700821443,1076.7817735413055,557.699740034662,1154.0,10.050100030230242,-19.589128719659694,136.56700717027007,22.016777116849557
2,20260609_140511.mp4,32,1.0662073497622135,1071.8412910902869,559.8409936040457,1120.5,9.253615555483233,-19.934332905975367,136.3228860066757,21.977420896341172
2,20260609_140511.mp4,33,1.0995263294422828,1068.1325660699063,561.7817561807332,1173.0,8.655710000889087,-20.247214750375573,136.58567723187343,22.019787028200742
2,20260609_140511.mp4,34,1.1328453091223518,1063.770178419711,563.3714245256301,1177.0,7.952423617290629,-20.50349461155515,136.4113816802608,21.99168780869065
2,20260609_140511.mp4,35,1.166164288802421,1059.1730356376127,565.1809073994561,1164.5,7.211290966696606,-20.795212076521732,136.52545758712213,22.01007866214647
2,20260609_140511.mp4,36,1.1994832684824903,1055.2248095443438,566.875664798045,1159.5,6.574774023815586,-21.068433967262457,136.90018555807129,22.070490780613344
2,20260609_140511.mp4,37,1.2328022481625593,1051.3250688705234,567.6936026936027,1089.0,5.946073702939645,-21.20029858606797,136.57686438451313,22.018366256814467
2,20260609_140511.mp4,38,1.2661212278426286,1046.294056152927,569.0706391875746,1116.0,5.134994307040938,-21.42229880557741,136.64369854103128,22.02914098753708
2,20260609_140511.mp4,39,1.2994402075226978,1041.970403587444,570.0373692077727,1115.0,4.437952636161772,-21.578151085186445,136.64777783079091,22.02979863403087
