Test ID,Frame Number,Video Time (s),Elapsed Experiment Time (s),LED Detected,Marker 1 X (mm),Marker 1 Y (mm),Marker 2 X (mm),Marker 2 Y (mm),Marker 3 X (mm),Marker 3 Y (mm),Object Centroid X (mm),Object Centroid Y (mm),Pitch Angle (deg),Forward Velocity (mm/s),Number of Markers Detected,Interpolated Frame,Finish Line Crossed,Finish Crossing Frame (interpolated)
low_3p0s_rep2,39,1.2994422222222222,0.33319031339031335,False,-241.8577423095703,-325.1586608886719,11.401134490966797,-328.59466552734375,263.8250732421875,-331.78582763671875,11.122821807861328,-328.51305135091144,0.7508401252725843,44.922800398375,3,False,False,340.81223006569155
low_3p0s_rep2,40,1.3327612535612536,0.3665093447293448,False,-243.81529235839844,-325.1827392578125,9.480515480041504,-328.50079345703125,261.9100341796875,-331.6526794433594,9.191752433776855,-328.4454040527344,0.7329671357202604,43.37016565065163,3,False,False,340.81223006569155
low_3p0s_rep2,41,1.3660802849002849,0.39982837606837607,False,-245.26058959960938,-325.3034362792969,8.115816116333008,-328.47216796875,260.63397216796875,-331.6690673828125,7.829732894897461,-328.48155721028644,0.720910198816598,41.72048675892831,3,False,False,340.81223006569155
low_3p0s_rep2,42,1.3993993162393163,0.43314740740740754,False,-246.6061553955078,-324.9963684082031,6.675597667694092,-328.3631286621094,259.3220520019531,-331.67144775390625,6.463831424713135,-328.34364827473956,0.7559010929440566,41.534946106576214,3,False,False,340.81223006569155
low_3p0s_rep2,43,1.4327183475783476,0.4664664387464388,False,-247.6026611328125,-324.7425842285156,5.6862077713012695,-328.2322082519531,258.30999755859375,-331.4075012207031,5.46451473236084,-328.12743123372394,0.7547736120528571,43.68571063906513,3,False,False,340.81223006569155
low_3p0s_rep2,44,1.466037378917379,0.49978547008547025,False,-248.8502197265625,-324.7950744628906,4.4802703857421875,-327.9560546875,257.1048889160156,-331.2398986816406,4.2449798583984375,-327.99700927734375,0.7297905517249826,46.28065651892913,3,False,False,340.81223006569155
low_3p0s_rep2,45,1.4993564102564103,0.5331045014245015,False,-250.9177703857422,-325.0864562988281,2.5011367797851562,-328.2115478515625,255.10829162597656,-331.3437194824219,2.2305526733398438,-328.2139078776042,0.7084546179593967,49.0224283033957,3,False,False,340.81223006569155
low_3p0s_rep2,46,1.5326754415954416,0.5664235327635327,False,-252.87208557128906,-324.8269958496094,0.4689841866493225,-328.1923828125,253.1089324951172,-331.4547424316406,0.23527703682581583,-328.1580403645833,0.7504633118058189,52.90666227786149,3,False,False,340.81223006569155
low_3p0s_rep2,47,1.565994472934473,0.5997425641025642,False,-254.56588745117188,-324.8822937011719,-1.047454833984375,-327.99029541015625,251.52740478515625,-331.24383544921875,-1.3619791666666667,-328.03880818684894,0.7201642543688663,53.95120453467701,3,False,False,340.81223006569155
low_3p0s_rep2,48,1.5993135042735043,0.6330615954415955,False,-256.274169921875,-324.747802734375,-2.707124710083008,-328.03167724609375,249.8508758544922,-331.0619812011719,-3.04347292582194,-327.94715372721356,0.7147581674155269,54.35356744047628,3,False,False,340.81223006569155
low_3p0s_rep2,49,1.6326325356125357,0.6663806267806269,False,-258.11676025390625,-324.739501953125,-4.629438877105713,-327.91168212890625,248.1211395263672,-330.99462890625,-4.875019868214925,-327.88193766276044,0.7079164511047539,56.24225621892947,3,False,False,340.81223006569155
low_3p0s_rep2,50,1.665951566951567,0.6996996581196582,False,-259.8981628417969,-324.6468200683594,-6.371912956237793,-327.8553771972656,246.3936767578125,-330.948974609375,-6.625466346740723,-327.8170572916667,0.7131622140720862,53.921379401942666,3,False,False,340.81223006569155
